"OBJECTID","GIS_DB_ID","Route","Direction","Stop_ID","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","School_Rou","Source","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
7471,"5230131N","52","N",30131,81,"HAGTOWNE","Hagys Ford Rd & Tower Ln - FS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.026514,-75.255505,"{F2FF4164-BEDC-453A-B2CF-5EB9655EA25A}","2016"
7472,"5229569N","52","N",29569,82,"HAGTOENE","Hagys Ford Rd & Tower Ln - MBFS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.027395,-75.253434,"{EC397C50-7934-4829-8260-F012BAFB5C73}","2016"
7473,"5221791N","52","N",21791,83,"HAGFL1NW","Hagys Ford Rd & Flat Rock Rd - MBNS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.029179,-75.252839,"{E8560352-89F2-4C0B-AC11-DBFEC96FC9C8}","2016"
7474,"5221793N","52","N",21793,84,"HAGFL2NW","Hagys Ford Rd & Flat Rock Rd","City","Bus","No","APC Fall 2016",0,3,3,0,0,0,0,0,0,40.030198,-75.254066,"{566507B7-A4E2-465F-89CB-1725D5433A2E}","2016"
7475,"5230132N","52","N",30132,85,"HAGFL3SW","Hagys Ford Rd & Flat Rock Rd - MBFS","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.032049,-75.256449,"{FA8CE86C-2714-4392-8DB7-5258C32F2542}","2016"
7476,"5221796N","52","N",21796,86,"HAGHOLNW","Hagys Ford Rd & Hollow Rd","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.034185,-75.258679,"{F157369A-4377-4781-BBAF-5A0B244499D4}","2016"
7477,"5221658N","52","N",21658,87,"HAGBOBNW","Hagys Ford Rd & Bobarn Rd - FS","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.035042,-75.259079,"{9733B536-81FB-43D6-A262-725BEF059F0D}","2016"
7478,"5229570N","52","N",29570,88,"HABBOANO","Hagys Ford Rd & Bobarn Rd - MBFS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.036274,-75.25943,"{468A1936-4EFE-40CD-BAE3-D8D5D84022BB}","2016"
7479,"5229571N","52","N",29571,89,"HAGCHEEA","Hagys Ford Rd & Chermar Ln","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.038023,-75.258539,"{449A264A-620C-4C90-9938-2C8C76350610}","2016"
7480,"5229572N","52","N",29572,90,"OAKOAKEA","Oakwood Dr & Oakwood Ter - FS","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.038869,-75.257485,"{0E9A3996-D12F-43C6-B573-E5FD56B9183C}","2016"
7481,"5230135N","52","N",30135,91,"OAKOAWNE","Oakwood Ter & Oakwood Dr - MBFS","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.039501,-75.255994,"{07BA5221-0433-4CD7-98A8-14FB4DFE62BD}","2016"
7482,"5230223N","52","N",30223,92,"OAKLOONO","Oakhill Apartments Loop","City","Bus","No","APC Fall 2016",0,3,3,0,0,0,0,0,0,40.040856,-75.254867,"{0674F688-EA62-47A0-ADDF-9C1A3E8B4035}","2016"
7483,"5230134N","52","N",30134,93,"OAKOAWSW","Oakwood Dr & Oakwood Ter - MBNS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.039528,-75.256159,"{BA9E5991-DB45-459A-BF2D-574E2B21775C}","2016"
7484,"5229573N","52","N",29573,94,"OAKOAKWE","Oakwood Dr & Oakwood Ter","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.038994,-75.257508,"{F4E17063-96B8-49D6-9104-6B92036FD94C}","2016"
