"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
12068,"5221738N","City","52","Northbound",20,21738,"52NCEDNO","52nd St & Cedar Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,200,73,273,95,28,123,49,24,72,39.950626,-75.226746,"{A1189744-0DA4-45B9-9B9C-48AC7A170E65}","2018"
12069,"5221739N","City","52","Northbound",21,21739,"52NLARNO","52nd St & Larchwood Av","Bus","No",0,NA,"No","APC (UTA)",NA,123,36,159,57,24,81,37,13,49,39.951929,-75.226483,"{E33D33F9-7939-44CE-86CB-83047B82E27D}","2018"
12070,"5221740N","City","52","Northbound",22,21740,"52NPINNO","52nd St & Pine St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,123,53,176,70,36,105,33,16,50,39.953695,-75.226124,"{EE983167-88DD-4832-8567-0B8D58F716A3}","2018"
12071,"5221741N","City","52","Northbound",23,21741,"52NSPRNO","52nd St & Spruce St - FS","Bus","Yes",0,"52SP","No","APC (UTA)",NA,220,100,320,135,55,190,81,45,125,39.954748,-75.225884,"{FF625930-83A2-40A8-B291-45F8C7D993D7}","2018"
12072,"5221742N","City","52","Northbound",24,21742,"52NLOCNO","52nd St & Locust St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,47,27,74,22,17,39,19,5,24,39.955979,-75.225645,"{B1D0C853-A6FA-43ED-B080-8881CA75356C}","2018"
12073,"5221743N","City","52","Northbound",25,21743,"52NWALNO","52nd St & Walnut St","Bus","No",0,NA,"No","APC (UTA)",NA,187,118,305,121,93,214,73,39,113,39.956854,-75.225453,"{4DC9D85A-211B-4B31-A9BA-E27CD2E4D3D0}","2018"
12074,"5221744N","City","52","Northbound",28,21744,"52NARCNO","52nd St & Arch St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,92,47,139,71,34,105,47,16,63,39.961725,-75.224459,"{1EC4D1D6-7CA5-4004-B284-16DCCC5D67AE}","2018"
12075,"5221745N","City","52","Northbound",29,21745,"52NRACNO","52nd St & Race St","Bus","No",0,NA,"No","APC (UTA)",NA,73,76,149,45,34,79,30,33,63,39.962992,-75.224196,"{FF5CB3BE-DD95-43AC-ABB2-3588F9FB5097}","2018"
12076,"5221746N","City","52","Northbound",31,21746,"52NPARNO","52nd St & Parrish St","Bus","No",0,NA,"No","APC (UTA)",NA,50,112,162,35,58,93,22,50,72,39.966536,-75.224812,"{8AB0BC2F-383C-406A-8B4C-308A02F257D4}","2018"
12077,"5221747N","City","52","Northbound",32,21747,"52NWESNO","52nd St & Westminster Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,70,164,234,45,98,143,39,81,120,39.968286,-75.225078,"{7068CEF2-D67A-47BB-BF57-A8B59D7EDE5C}","2018"
12078,"5221748N","City","52","Northbound",33,21748,"52NWYANO","52nd St & Wyalusing Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,40,80,120,30,41,72,17,28,45,39.969678,-75.225358,"{B752FB51-CAA1-4BA5-869B-DBA093D09B2C}","2018"
12079,"5221749N","City","52","Northbound",35,21749,"52NTHONO","52nd St & Thompson St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,58,144,202,41,116,157,21,70,91,39.973116,-75.22608,"{862A2E91-630B-4D50-A699-79780DDB1C1F}","2018"
12080,"5221750N","City","52","Northbound",36,21750,"52NMASNO","52nd St & Master St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,53,157,210,36,80,115,28,81,109,39.974401,-75.226301,"{549BD312-1845-4641-B87F-3CDF950D3D47}","2018"
12081,"5221751N","City","52","Northbound",37,21751,"52NWARNO","52nd St & Warren St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,114,376,490,50,241,290,27,165,193,39.976455,-75.226673,"{51161A8A-6B1F-4AD6-9CC3-70553147BCE1}","2018"
12082,"5221752N","City","52","Northbound",38,21752,"52NLANNO","52nd St & Lancaster Av - FS","Bus","Yes",2331,"52LA","No","APC (UTA)",NA,87,175,262,43,131,174,29,65,94,39.977632,-75.226422,"{51CD58AF-D7CA-448F-8273-3A29D1FB23FA}","2018"
12083,"5221754S","City","52","Southbound",55,21754,"PAR51SNW","Parkside Av & 51st St","Bus","No",0,NA,"No","APC (UTA)",NA,28,4,32,0,0,0,0,0,0,39.980775,-75.221392,"{398D1AD7-A1CB-4C11-ABFC-53C4A0758E0B}","2018"
12084,"5221757S","City","52","Southbound",56,21757,"52NCOLSW","52nd St & Columbia Av","Bus","Yes",0,"52CO","No","APC (UTA)",NA,7,3,10,0,0,0,0,0,0,39.980566,-75.224748,"{30498BD7-B0C9-488F-A8D9-E8E6969E6C5F}","2018"
12085,"5221758N","City","52","Northbound",45,21758,"JEF52NNW","Jefferson St & 52nd St - FS","Bus","Yes",0,"JE52","No","APC (UTA)",NA,103,243,346,61,171,232,37,111,148,39.979577,-75.225554,"{81FCA4B3-E148-470F-B8F9-53E909FD029B}","2018"
