"OBJECTID","GIS_DB_ID","Route","Stop_ID","Direction","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","Latitude","Longitude","Routes_Ser","Weekday_Bo","Weekday_Le","Weekday_Lo","Weekday_Tr","Saturday_B","Saturday_L","Saturday_1","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Loa","Sunday_Tri","Source","School_Rou","GlobalID","year"
14369,"5221769N","52",21769,"N",68,"BALUNINW","Bala Av & Union Av","City Fall 2015","Bus",40.003103,-75.231041,"44, 52",0,0,72,8,0,0,0,0,0,0,0,0,"APC","No","{F2666C8B-D895-4EB9-9DEC-F956275F8F82}","2015"
14370,"5229567N","52",29567,"N",69,"BALHIGNO","Bala Av & Highland Av","City Fall 2015","Bus",40.004996,-75.232052,"44, 52",0,1,71,8,0,0,0,0,0,0,0,0,"APC","No","{3D7990E9-AFAE-4345-86B4-1C6AA5F07F92}","2015"
14371,"5221770N","52",21770,"N",70,"BALMONNO","Bala Av & Montgomery Av","City Fall 2015","Bus",40.006335,-75.232238,"44, 52",0,1,70,8,0,0,0,0,0,0,0,0,"APC","No","{D44050BA-61EE-49A4-9DFF-417FDCC25F46}","2015"
14372,"5229568N","52",29568,"N",71,"CONBAANO","Conshohocken State Rd & Bala Av","City Fall 2015","Bus",40.007452,-75.232613,"44, 52",0,0,70,8,0,0,0,0,0,0,0,0,"APC","No","{E52F7D8C-D712-4B84-95B7-DAB4989DA7F2}","2015"
14373,"5221771N","52",21771,"N",72,"CONLODNW","Conshohocken State Rd & Lodges Ln","City Fall 2015","Bus",40.010711,-75.233821,"44, 52",0,1,69,8,0,0,0,0,0,0,0,0,"APC","No","{495F23F2-5D13-4648-85C9-BB05ADD5BBD1}","2015"
14374,"5230130N","52",30130,"N",73,"COSDERNW","Conshohocken State Rd & Derwin Rd","City Fall 2015","Bus",40.012311,-75.235117,"44, 52",0,1,68,8,0,0,0,0,0,0,0,0,"APC","No","{208CF522-E2A9-4086-ACD4-A163CFAF4AB6}","2015"
14375,"5221773N","52",21773,"N",74,"CONLEVNW","Conshohocken State Rd & Levering","City Fall 2015","Bus",40.013401,-75.235965,"44, 52",0,2,66,8,0,0,0,0,0,0,0,0,"APC","No","{40573CD4-3E65-4EA7-95D3-65F88D0A3E82}","2015"
14376,"5221774N","52",21774,"N",75,"CONOVENW","Conshohocken State Rd & Overhill Rd","City Fall 2015","Bus",40.015099,-75.237308,"44, 52",0,2,64,8,0,0,0,0,0,0,0,0,"APC","No","{2722A0E5-F7E0-4122-8CF1-E727ED81DC88}","2015"
14377,"5221776N","52",21776,"N",76,"CONDARNE","Conshohocken State Rd & Dartmouth","City Fall 2015","Bus",40.016895,-75.238839,"44, 52",0,0,64,8,0,0,0,0,0,0,0,0,"APC","No","{4A495899-77F6-4E8E-9FFA-FF99F3A0FEFB}","2015"
14378,"5221777N","52",21777,"N",77,"CONROCNW","Conshohocken State Rd & Rockhill Rd","City Fall 2015","Bus",40.018245,-75.240041,"44, 52",0,5,60,8,0,0,0,0,0,0,0,0,"APC","No","{D6C7B825-527C-4A0B-B571-7614DD5F365A}","2015"
14379,"5231449N","52",31449,"N",78,"CONMARNW","Conshohocken State Rd & Mary Waters Ford Rd","City Fall 2015","Bus",40.020618,-75.245732,"44, 52",0,1,58,8,0,0,0,0,0,0,0,0,"APC","No","{B540878C-7593-4405-99E0-F6362EFCA77C}","2015"
14380,"5221779N","52",21779,"N",79,"CONCENNW","Conshohocken State Rd & Centennial","City Fall 2015","Bus",40.023318,-75.255147,"44, 52",0,2,56,8,0,0,0,0,0,0,0,0,"APC","No","{0D6E0A30-7590-4FAD-AE32-2CFCEB3EB245}","2015"
14381,"5221780N","52",21780,"N",80,"CONHAGNO","Conshohocken St & Hagys Ford Rd","City Fall 2015","Bus",40.025348,-75.257565,"44, 52",0,4,52,8,0,0,0,0,0,0,0,0,"APC","No","{E0DD30D2-9419-46BF-83A6-FDABE45B987C}","2015"
14382,"5230131N","52",30131,"N",81,"HAGTOWNE","Hagys Ford Rd & Tower Ln - FS","City Fall 2015","Bus",40.026514,-75.255505,"44, 52",0,1,51,8,0,0,0,0,0,0,0,0,"APC","No","{19223133-98E2-4CD4-B1DA-793EB0AD84F8}","2015"
